"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"UF",28,"2242937",2068017,1005041,1062976,NA,NA,NA,185524,597799,191655
2015,"MUNICIPIO",2800100,"2374",2275,1135,1140,450,1211,411,NA,NA,NA
2015,"MUNICIPIO",2800209,"21312",20056,9805,10251,3756,10446,4043,NA,NA,NA
2015,"MUNICIPIO",2800308,"632744",571149,265484,305665,87579,339210,103918,NA,NA,NA
2015,"MUNICIPIO",2800407,"10574",10878,5487,5391,2143,5861,1855,NA,NA,NA
2015,"MUNICIPIO",2800506,"18164",16857,8493,8364,3366,9303,2611,NA,NA,NA
2015,"MUNICIPIO",2800605,"28677",24976,12212,12764,4704,14385,3681,NA,NA,NA
2015,"MUNICIPIO",2800670,"26750",25533,12538,12995,4779,13836,4650,NA,NA,NA
2015,"MUNICIPIO",2800704,"8218",7742,3936,3806,1824,3942,1172,NA,NA,NA
2015,"MUNICIPIO",2801009,"17858",16749,8233,8516,3113,8898,3325,NA,NA,NA
2015,"MUNICIPIO",2801108,"4057",3956,2061,1895,818,2058,682,NA,NA,NA
2015,"MUNICIPIO",2801207,"28279",24686,12293,12393,5601,13279,2882,NA,NA,NA
2015,"MUNICIPIO",2801306,"33374",30761,15269,15492,6207,16318,5205,NA,NA,NA
2015,"MUNICIPIO",2801405,"21484",20007,9970,10037,3724,10455,3957,NA,NA,NA
2015,"MUNICIPIO",2801504,"15622",13503,6671,6832,2849,7584,1718,NA,NA,NA
2015,"MUNICIPIO",2801603,"5890",5633,2780,2853,969,3002,1181,NA,NA,NA
2015,"MUNICIPIO",2801702,"17911",16519,8295,8224,3647,8820,2264,NA,NA,NA
2015,"MUNICIPIO",2801900,"3985",3813,1903,1910,655,2067,742,NA,NA,NA
2015,"MUNICIPIO",2802007,"4890",4326,2189,2137,925,2314,670,NA,NA,NA
2015,"MUNICIPIO",2802106,"68405",64409,31365,33044,12010,35698,11080,NA,NA,NA
2015,"MUNICIPIO",2802205,"5573",5324,2630,2694,1066,2802,923,NA,NA,NA
2015,"MUNICIPIO",2802304,"15047",13874,6785,7089,2578,7668,2482,NA,NA,NA
2015,"MUNICIPIO",2802403,"11724",11405,5811,5594,2252,6065,1990,NA,NA,NA
2015,"MUNICIPIO",2802502,"3231",2929,1423,1506,555,1621,505,NA,NA,NA
2015,"MUNICIPIO",2802601,"5848",5645,2889,2756,1023,2989,1158,NA,NA,NA
2015,"MUNICIPIO",2802700,"8597",8348,4168,4180,1865,4281,1386,NA,NA,NA
2015,"MUNICIPIO",2802809,"17385",15831,8027,7804,3622,8127,2271,NA,NA,NA
2015,"MUNICIPIO",2802908,"93572",86967,42496,44471,15634,49251,14696,NA,NA,NA
2015,"MUNICIPIO",2803005,"41404",38910,19379,19531,8035,20555,6255,NA,NA,NA
2015,"MUNICIPIO",2803104,"5017",4972,2478,2494,839,2568,1141,NA,NA,NA
2015,"MUNICIPIO",2803203,"33317",30419,15165,15254,6155,16790,4563,NA,NA,NA
2015,"MUNICIPIO",2803302,"18288",16864,8389,8475,3214,9200,2945,NA,NA,NA
2015,"MUNICIPIO",2803401,"13245",12938,6482,6456,2602,6911,2121,NA,NA,NA
2015,"MUNICIPIO",2803500,"102257",94861,46489,48372,17157,51751,17654,NA,NA,NA
2015,"MUNICIPIO",2803609,"29130",26902,13131,13771,5305,15551,3497,NA,NA,NA
2015,"MUNICIPIO",2803708,"6824",6401,3162,3239,1155,3383,1320,NA,NA,NA
2015,"MUNICIPIO",2803807,"3653",3456,1753,1703,736,1866,538,NA,NA,NA
2015,"MUNICIPIO",2803906,"12598",12042,6081,5961,2276,6541,2159,NA,NA,NA
2015,"MUNICIPIO",2804003,"17151",16343,8011,8332,3256,9183,2385,NA,NA,NA
2015,"MUNICIPIO",2804102,"11395",11001,5462,5539,1864,5911,2440,NA,NA,NA
2015,"MUNICIPIO",2804201,"14853",13627,6900,6727,2914,7319,1969,NA,NA,NA
2015,"MUNICIPIO",2804300,"7642",7344,3685,3659,1339,4041,1300,NA,NA,NA
2015,"MUNICIPIO",2804409,"18958",18506,9233,9273,3588,9885,3353,NA,NA,NA
2015,"MUNICIPIO",2804458,"8830",8508,4257,4251,1462,4672,1673,NA,NA,NA
2015,"MUNICIPIO",2804508,"35726",32497,16076,16421,6080,18131,5315,NA,NA,NA
2015,"MUNICIPIO",2804607,"26240",24580,12127,12453,4610,13258,4486,NA,NA,NA
2015,"MUNICIPIO",2804706,"6494",6238,3151,3087,1228,3309,1145,NA,NA,NA
2015,"MUNICIPIO",2804805,"177344",160827,78287,82540,31384,94758,19654,NA,NA,NA
2015,"MUNICIPIO",2804904,"14164",13137,6687,6450,2819,6813,2153,NA,NA,NA
2015,"MUNICIPIO",2805000,"3199",2974,1496,1478,530,1644,591,NA,NA,NA
2015,"MUNICIPIO",2805109,"9449",8833,4356,4477,1788,4720,1457,NA,NA,NA
2015,"MUNICIPIO",2805208,"6440",5973,2926,3047,1072,3148,1237,NA,NA,NA
2015,"MUNICIPIO",2805307,"9063",8369,4213,4156,1783,4516,1261,NA,NA,NA
2015,"MUNICIPIO",2805406,"33757",30880,15767,15113,7049,16118,4250,NA,NA,NA
2015,"MUNICIPIO",2805505,"23416",21983,10866,11117,3986,11450,4618,NA,NA,NA
2015,"MUNICIPIO",2805604,"28492",27146,13883,13263,5685,14429,4461,NA,NA,NA
2015,"MUNICIPIO",2805703,"29655",28451,13846,14605,5178,15751,5080,NA,NA,NA
2015,"MUNICIPIO",2805802,"19976",19386,9736,9650,3779,10286,3432,NA,NA,NA
2015,"MUNICIPIO",2805901,"10033",9355,4554,4801,1928,5206,1299,NA,NA,NA
2015,"MUNICIPIO",2806008,"18362",17173,8492,8681,2892,9383,3553,NA,NA,NA
2015,"MUNICIPIO",2806107,"10364",9221,4439,4782,1838,5215,1279,NA,NA,NA
2015,"MUNICIPIO",2806206,"20083",19365,9658,9707,3728,10578,3319,NA,NA,NA
2015,"MUNICIPIO",2806305,"13836",12969,6654,6315,3016,6629,1879,NA,NA,NA
2015,"MUNICIPIO",2806404,"7607",7038,3537,3501,1462,3859,1066,NA,NA,NA
2015,"MUNICIPIO",2806503,"3913",3749,1887,1862,754,1940,662,NA,NA,NA
2015,"MUNICIPIO",2806602,"12025",11410,5612,5798,2304,6173,1961,NA,NA,NA
2015,"MUNICIPIO",2806701,"86979",78864,38399,40465,14894,45233,11875,NA,NA,NA
2015,"MUNICIPIO",2806800,"10971",10271,5091,5180,1962,5421,1980,NA,NA,NA
2015,"MUNICIPIO",2806909,"3847",3393,1708,1685,646,1813,613,NA,NA,NA
2015,"MUNICIPIO",2807006,"3902",3698,1840,1858,660,1982,708,NA,NA,NA
2015,"MUNICIPIO",2807105,"40526",38702,18888,19814,6949,20780,7598,NA,NA,NA
2015,"MUNICIPIO",2807204,"8677",8004,3989,4015,1695,4194,1369,NA,NA,NA
2015,"MUNICIPIO",2807303,"3170",2957,1476,1481,574,1670,462,NA,NA,NA
2015,"MUNICIPIO",2807402,"51375",48040,23459,24581,8586,26012,9132,NA,NA,NA
2015,"MUNICIPIO",2807501,"13200",12855,6536,6319,2532,6961,2065,NA,NA,NA
2015,"MUNICIPIO",2807600,"24545",22434,11000,11434,4597,12197,3423,NA,NA,NA
